,Date,Temp,StartTime,EndTime,Duration,FileName,File,Total,Frame#,Dir,R(m),Theta,Length,dR(cm),L/dR,Aspect,Time,Date,Pan,Tilt,Roll,Species,Motion,Motion2,Q,N
60,7/22/2025,13,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_090000_ID_.txt,1,4,1713,Up,6.62,5.5,56.3,0,0,0,9:11:49,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
61,7/22/2025,13,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_090000_ID_.txt,1,5,1715,Up,6.75,-1.8,62.1,0,0,0,9:11:50,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
62,7/22/2025,13,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_090000_ID_.txt,1,6,1722,Up,5.88,4.8,61.5,0,0,0,9:11:53,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
63,7/22/2025,12,10:00:00,10:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_100000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,7/22/2025,13,11:00:00,11:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_110000_ID_.txt,1,1,1614,Up,6.81,3.9,69.7,0,0,0,11:11:23,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
65,7/22/2025,13,12:00:00,12:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_120000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,7/22/2025,13,13:00:00,1:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_130000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,7/22/2025,13,13:20:00,1:39:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_132000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,7/22/2025,13,14:00:00,2:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_140000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,7/22/2025,13,15:00:00,3:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_150000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,7/22/2025,13,16:00:00,4:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_160000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,7/22/2025,13,17:00:00,5:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_170000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,7/22/2025,13,18:00:00,6:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_180000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,7/22/2025,13,19:00:00,7:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_190000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,7/22/2025,13,20:00:00,8:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_200000_ID_.txt,1,1,1646,Up,6.42,-4.9,61.9,0,0,0,20:11:43,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
75,7/22/2025,13,21:00:00,9:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_210000_ID_.txt,1,1,881,Up,6.32,-3.7,45.5,0,0,0,21:06:17,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
76,7/22/2025,13,22:00:00,10:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_220000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,7/22/2025,13,23:00:00,11:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_230000_ID_.txt,1,1,793,Up,6.41,-0.5,53.8,0,0,0,23:05:47,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
78,7/22/2025,13,23:00:00,11:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_230000_ID_.txt,1,2,799,Up,6,-4.6,78.2,0,0,0,23:05:49,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
79,7/22/2025,13,23:00:00,11:19:59,-12,D:/Chena Towerside 2025/ARIS_2025_07_22/FCe_chena Tower side 2025_2025-07-22_230000_ID_.txt,1,3,2286,Up,6.26,4.7,46.7,0,0,0,23:15:46,7/22/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
80,7/23/2025,13,0:00:00,12:19:59,12,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_000000_ID_.txt,1,1,1012,Up,6.34,-2.7,76.4,0,0,0,0:07:13,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
81,7/23/2025,12,1:00:03,1:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_010003_ID_.txt,1,1,603,Up,5.78,5.1,45.1,0,0,0,1:04:12,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
82,7/23/2025,12,2:00:00,2:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_020000_ID_.txt,1,1,1559,Up,5.56,7.3,77.2,0,0,0,2:10:59,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
83,7/23/2025,12,3:00:00,3:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_030000_ID_.txt,1,1,1743,Up,7.88,1.5,50.3,0,0,0,3:12:03,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
84,7/23/2025,12,4:00:00,4:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_040000_ID_.txt,1,1,2954,Up,6.62,4.1,46.7,0,0,0,4:19:45,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
85,7/23/2025,12,5:00:00,5:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_050000_ID_.txt,1,1,1622,Up,6.56,0.4,53.9,0,0,0,5:10:51,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
86,7/23/2025,12,6:00:00,6:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_060000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,7/23/2025,12,7:00:00,7:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_070000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,7/23/2025,12,8:00:05,8:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_080005_ID_.txt,1,1,1180,Up,6.73,-7.4,64,0,0,0,8:08:20,7/23/2025,88.17,-8.68,0,Unknown,Running,<-->,5,1
89,7/23/2025,11,9:00:00,9:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_090000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,7/23/2025,11,10:00:00,10:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_100000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,7/23/2025,12,11:00:00,11:19:59,20,D:/Chena Towerside 2025/ARIS_2025_07_23/FCe_chena Tower side 2025_2025-07-23_110000_ID_.txt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
