Day,Shift,Period 1,2,3,4,5,6,7,8,Sydij,Sydi,mdi,md,Mdi,Md,hdi,hd,Hd,Ydi=Mdi/mdi*Sydij,Yd(avg)=SYdi/hd,N^d=Yd(avg)*Hd,,,,(ydij - ydij-1)2,,,,S(RDS)2,s22di,(Ydi - Yd (avg))2,s21d,f1d,(1-f1d)Hd2s1d2/hd,f2di,Mdi2(1-f2di)s2di2/mdi,var(Nd),se,cv
3-Aug,3,,,,,,,,,0,16,0,8,24,72,0,1,3,0,48.00,144,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.333333333,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!
4-Aug,1,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
4-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
4-Aug,3,,,,,,,,,0,0,0,0,24,72,0,0,3,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A
5-Aug,1,8,3,4,7,2,3,2,2,31,,8,,24,,1,,,93,,,25,1,9,25,1,1,0,62,4.428571429,0,,,,0.333333333,212.5714286,,,
5-Aug,2,,,,,,,,,0,,0,,24,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,,,,0,0,,,
5-Aug,3,,,,,,,,,0,31,0,8,24,72,0,1,3,0,93.00,279,0,0,0,0,0,0,0,0,0,0,#DIV/0!,0.333333333,#DIV/0!,0,0,#DIV/0!,#DIV/0!,#DIV/0!
6-Aug,1,6,4,5,7,3,2,2,3,32,,8,,24,,1,,,96,,,4,1,4,16,1,0,1,27,1.928571429,36,,,,0.333333333,92.57142857,,,
6-Aug,2,2,3,3,2,4,3,6,5,28,,8,,24,,1,,,84,,,1,0,1,4,1,9,1,17,1.214285714,36,,,,0.333333333,58.28571429,,,
6-Aug,3,,,,,,,,,0,60,0,16,24,72,0,2,3,0,90.00,270,0,0,0,0,0,0,0,0,0,0,72,0.666666667,108,0,0,334.2857143,18.28348201,6.77%
7-Aug,1,3,6,1,3,3,1,2,1,20,,8,,24,,1,,,60,,,9,25,4,0,4,1,1,44,3.142857143,144,,,,0.333333333,150.8571429,,,
7-Aug,2,3,1,4,0,0,1,0,3,12,,8,,24,,1,,,36,,,4,9,16,0,1,1,9,40,2.857142857,144,,,,0.333333333,137.1428571,,,
7-Aug,3,,,,,,,,,0,32,0,16,24,72,0,2,3,0,48.00,144,0,0,0,0,0,0,0,0,0,0,288,0.666666667,432,0,0,864,29.39387691,20.41%
8-Aug,1,8,3,4,4,5,5,3,2,34,,8,,24,,1,,,102,,,25,1,0,1,0,4,1,32,2.285714286,641.7777778,,,,0.333333333,109.7142857,,,
8-Aug,2,2,1,1,0,6,3,1,2,16,,8,,24,,1,,,48,,,1,0,1,36,9,4,1,52,3.714285714,821.7777778,,,,0.333333333,178.2857143,,,
8-Aug,3,6,7,2,4,,,1,0,20,70,6,22,24,72,1,3,3,80,76.67,230,1,25,4,0,0,0,1,31,3.1,11.11111111,737.3333333,1,0,0.25,223.2,511.2,22.60973242,9.83%
9-Aug,1,2,2,1,7,4,2,2,1,21,,8,,24,,1,,,63,,,0,1,36,9,4,0,1,51,3.642857143,121,,,,0.333333333,174.8571429,,,
9-Aug,2,0,1,2,1,1,2,0,0,7,,8,,24,,1,,,21,,,1,1,1,0,1,4,0,8,0.571428571,961,,,,0.333333333,27.42857143,,,
9-Aug,3,0,4,7,,3,1,2,4,21,49,7,23,24,72,1,3,3,72,52.00,156,16,9,0,0,4,1,4,34,2.833333333,400,741,1,0,0.291666667,165.1428571,367.4285714,19.16842642,12.29%
10-Aug,1,3,3,3,2,5,,5,4,25,,7,,24,,1,,,86,,,0,0,1,9,0,0,1,11,0.916666667,477.7346939,,,,0.291666667,53.42857143,,,
10-Aug,2,1,0,2,0,1,8,0,2,14,,8,,24,,1,,,42,,,1,4,4,1,49,64,4,127,9.071428571,477.7346939,,,,0.333333333,435.4285714,,,
10-Aug,3,,,,,,,,,0,39,0,15,24,72,0,2,3,0,63.86,192,0,0,0,0,0,0,0,0,0,0,955.4693878,0.666666667,1433.204082,0,0,2166.489796,46.54556688,24.30%
11-Aug,1,3,3,,6,4,4,3,3,26,,7,,24,,1,,,89,,,0,0,0,4,0,1,0,5,0.416666667,788.005102,,,,0.291666667,24.28571429,,,
11-Aug,2,1,3,1,0,0,2,3,1,11,,8,,24,,1,,,33,,,4,4,1,0,4,1,4,18,1.285714286,788.005102,,,,0.333333333,61.71428571,,,
11-Aug,3,,,,,,,,,0,37,0,15,24,72,0,2,3,0,61.07,183,0,0,0,0,0,0,0,0,0,0,1576.010204,0.666666667,2364.015306,0,0,2493.015306,49.93010421,27.25%
12-Aug,1,5,4,10,4,6,1,,,30,,6,,24,,1,,,120,,,1,36,36,4,25,0,0,102,10.2,2756.25,,,,0.25,734.4,,,
